objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
dimenovels001,Maleaska.pdf,,,"Malaeska, the Indian wife of the White Hunter","Stephens, Ann S",1860,First widely successful recognized dime novel. *Note: May contain offensive depictions or descriptions of people of color and/or women.,Dime novels; Indians of North America--New York (State)--Fiction; Catskill Mountains (N.Y.)--Fiction; Hudson River (N.Y. and N.J.)--Fiction,,,,"Northern Illinoi University Special Collections, https://dimenovels.lib.niu.edu/islandora/object/dimenovels%3A185#page/1/mode/1up",,Westerns and Frontier adventures,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
dimenovels002,Seth_Jones.pdf,,,"Seth Jones, or, The Captives of the Frontier","Ellis, Edward Sylvester",1860,"Seth Jones tells the story of the eponymous back woodsman hero, later revealed to be a gentleman, who skillfully battles local Mohawk warriors to rescue the beautiful and helpless white damsel in distress.",Dime novels; Frontier and pioneer life--New York (State)--Fiction; Indians of North America--Fiction,,,,"Northern Illinois University Special Collections, https://dimenovels.lib.niu.edu/islandora/object/dimenovels%3A57",,Westerns and Frontier adventures,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
dimenovels003,Deadwood_Dick_on_Deck.pdf,,,"Deadwood Dick on Deck; or, Calamity Jane, the Heroine of Whoop-up","Wheeler, Edward Lytton",1899,"Deadwood Dick on Deck; or Calamity Jane, The Heroine of Whoop-Up is set in the Black Hills of what is now South Dakota, a territory populated by outlaw bands, murderous Mormons (or Danites), and a trio of three cross-dressing heroines: Calamity Jane, Dusty Dick, and Madame Minnie.",Dime novels; Adventure stories,,,,"University of South Florida Special Collections, https://digitalcommons.usf.edu/deadwood_dick/17/",D22-00018,Westerns and Frontier adventures,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
dimenovels004,Young_Klondike.pdf,,,"Young Klondike, or, Off for the Land of Gold","Doughty, Francis W.",1898,Off for the Land of Gold is the first of Young Klondike's adventures in the gold rush.,Dime novels; Gold mines and mining--Fiction,,,,"University of South Florida Special Collections, https://digitalcommons.usf.edu/young_klondike/25",Y14-00026 ,Westerns and Frontier adventures,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
dimenovels005,Diana_the_Arch-Demon.pdf,,,"Diana the Arch-Demon, or, Nick Carter's Run of Luck","Carter, Nick",1906,Detective stories like those of Nick Carter were very popular among dime novel readers.,Dime novels; Detective and mystery stories,,,,"University of South Florida Special Collections, https://digitalcommons.usf.edu/nick_carter/11/",C36-00011,Mystery and Detective stories,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
dimenovels006,Mademoiselle_Lucie.pdf,,,"Mademoiselle Lucie, the French Lady Detective",Old Sleuth,1904,"Features a story of a woman detective, a less common occurrence in dime novel mystery and detective stories.",Dime novels; Detective and mystery stories; Bankers; Gambling; Detective and mystery fiction; Action and adventure fiction,,,,"University of South Florida Special Collections, https://digitalcommons.usf.edu/old_sleuth/11/",O13-00016,Mystery and Detective stories,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
dimenovels007,Who_Was_the_Model.pdf,,,"Who was the Model?, or, Missing: a Beautiful Heiress","Bradshaw, Alden F.",1901,Weekly detective stories to captivate readers.,Dime novels; Detective and mystery stories,,,,"University of South Florida Special Collections, https://digitalcommons.usf.edu/shield_weekly/12/",S75-00005,Mystery and Detective stories,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
dimenovels008,The_Secret_Marriage.pdf,,,"The Secret Marriage, or, A Duchess in Spite of Herself","Claxton, Sara",1879,Romances were popular stories among young women.,Man-woman relationships--Fiction; Marriage--Fiction; Heirs--Fiction; Balls (Parties)--Fiction; Household employees--Fiction; Nobility--Fiction,,,,"Northern Illinois University Special Collections, https://dimenovels.lib.niu.edu/islandora/object/dimenovels%3A113364",,Romance,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
dimenovels009,The_Cherokee_Chief.pdf,,,"The Cherokee Chief, or, The White Rose of Saluda","Henderson, J. Stanley",1867,"The Cherokee Chief, or, The White Rose of Saluda, features an interracial love triangle. *Note: May contain offensive depictions or descriptions of people of color and/or women.","Attakullakulla, Cherokee chief--Fiction; Oconostota, Cherokee chief--Fiction; Indians of North America--Fiction; Cherokee Indians--Fiction; Colonists--Fiction; Frontier and pioneer life--Fiction; English--Fiction; French--Fiction; Abduction--Fiction; Indian captivities--Fiction; South Carolina--Fiction; United States--History--French and Indian War, 1754-1763--Fiction; South Carolina--History--Anglo-Cherokee War, 1758-1761--Fiction",,,,"Northern Illinois University Special Collections, https://dimenovels.lib.niu.edu/islandora/object/dimenovels%3A211997",,Romance,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
dimenovels010,Marion_Marlowe_on_the_Prarie.pdf,,,"Marion Marlowe on the Prairie, or, A Thrilling Ride Across Kansas","Shirley, Grace",1901,"Marion Marlowe on the Prairie, or, A Thrilling Ride Across Kansas features a harrowing train ride taking the title character and other members of an acting troupe from one engagement to another.","Marlowe, Marion (Fictitious character); Young women--Conduct of life--Fiction; Kansas--Fiction",,,,"Northern Illinois University Special Collections, https://dimenovels.lib.niu.edu/islandora/object/dimenovels%3A96035",,Romance,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
